CustomerID,Age,Income,Location,EmploymentStatus,LoanAmount,TenureMonths,InterestRate,LoanType,MissedPayments,DelaysDays,PartialPayments,InteractionAttempts,SentimentScore,ResponseTimeHours,AppUsageFrequency,WebsiteVisits,Complaints,Target,Age_Risk_Group,Payment_Faults,Loan_to_Income_Ratio,Monthly_DTI,Total_Interest_Payable,Customer_Friction_Index,Is_Education_Loan,Borrower_Persona
CUST0014,60,1516128,Rural,Self-Employed,134761,26,11.92,Personal,4,17,1,4,0.71,9.46,0.06,13,1,1,Low_Risk_Senior,5,0.08888497541104709,0.041023834805098656,34804.27426666667,0.29000000000000004,0,Cooperative Adult (Struggling Help Route)
CUST0015,44,1307955,Rural,Salaried,480192,27,11.58,Home,1,37,1,7,0.19,23.74,0.74,3,0,0,Standard_Adult,2,0.36713189673956675,0.1631697318842519,125114.0256,0.0,0,General Profile
CUST0016,23,1273629,Suburban,Student,962871,41,12.05,Auto,1,128,1,3,0.04,40.9,0.02,20,0,0,High_Risk_Youth,2,0.7560058698412175,0.2212700106852344,396422.014625,0.0,0,General Profile
CUST0017,42,1651238,Suburban,Salaried,848022,39,8.13,Personal,1,43,1,4,0.49,63.53,0.65,45,2,1,Standard_Adult,2,0.5135673960991692,0.15802073726128285,224068.61295000004,1.02,0,Cooperative Adult (Struggling Help Route)
CUST0018,22,1904858,Urban,Unemployed,566637,35,9.01,Business,1,46,1,2,0.63,57.06,0.21,9,0,0,High_Risk_Youth,2,0.29746941766787866,0.10198951462898698,148907.481625,0.0,0,General Profile
CUST0019,44,298723,Rural,Unemployed,716246,30,11.77,Personal,2,34,0,4,0.37,40.06,0.7,21,1,1,Standard_Adult,2,2.397692845880632,0.9590771383522527,210755.3855,0.63,0,Cooperative Adult (Struggling Help Route)
CUST0020,64,775644,Urban,Salaried,980370,50,11.6,Business,0,59,3,2,-0.12,5.78,0.31,29,2,1,Low_Risk_Senior,3,1.2639432523167844,0.3033463805560283,473845.5,2.24,0,Tough Adult (Strict Talk Route)
CUST0021,50,1521509,Suburban,Salaried,378768,33,10.8,Education,1,89,3,4,-0.24,20.94,0.87,29,0,0,Low_Risk_Senior,4,0.24894233290765944,0.09052448469369434,112494.096,0.0,1,General Profile
CUST0022,58,1053088,Urban,Student,738152,6,9.48,Business,2,51,3,4,0.54,26.72,0.34,15,0,1,Low_Risk_Senior,5,0.7009404722112492,1.4018809444224984,34988.404800000004,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0023,22,1280730,Rural,Student,452980,54,14.26,Business,4,7,0,5,0.04,44.95,0.62,10,0,1,High_Risk_Youth,4,0.35368891179249334,0.07859753595388741,290677.266,0.0,0,Cooperative Youth (Struggling Help Route)
CUST0024,41,1462518,Urban,Salaried,831198,50,9.39,Business,0,106,0,8,0.41,5.14,0.29,21,0,0,Standard_Adult,0,0.5683335179464458,0.13640004430714697,325206.2175,0.0,0,Reliable Payer (Premium Service Route)
CUST0025,53,464480,Rural,Salaried,170356,9,10.37,Home,0,168,0,0,0.78,38.41,0.92,28,1,0,Low_Risk_Senior,0,0.36676713744402345,0.4890228499253646,13249.437899999997,0.21999999999999997,0,Reliable Payer (Premium Service Route)
CUST0026,32,1614397,Suburban,Salaried,267228,12,12.26,Business,1,130,1,9,0.83,64.95,0.78,24,1,0,Standard_Adult,2,0.1655280578445079,0.1655280578445079,32762.1528,0.17000000000000004,0,General Profile
CUST0027,42,481173,Suburban,Salaried,92727,54,11.12,Auto,1,141,0,5,-0.44,50.94,0.24,13,1,1,Standard_Adult,1,0.19271031416974768,0.04282451425994393,46400.5908,1.44,0,General Profile
CUST0028,64,1045633,Rural,Self-Employed,390615,14,9.45,Auto,4,95,0,0,-0.62,57.49,0.95,13,0,0,Low_Risk_Senior,4,0.37356797270170317,0.32020111945860275,43065.30374999999,0.0,0,General Profile
CUST0029,45,1280841,Suburban,Salaried,582356,41,10.2,Personal,2,25,0,5,-0.48,49.24,0.36,1,0,0,Standard_Adult,2,0.4546668946418798,0.13307323745615995,202951.066,0.0,0,General Profile
CUST0030,47,1613636,Suburban,Student,691211,24,13.25,Home,2,110,0,1,0.5,15.27,0.65,12,0,0,Standard_Adult,2,0.42835620920703305,0.21417810460351655,183170.915,0.0,0,General Profile
CUST0031,62,1491898,Suburban,Unemployed,450511,6,8.86,Personal,2,122,2,7,-0.26,8.4,0.74,2,1,1,Low_Risk_Senior,4,0.3019717165650735,0.603943433130147,19957.6373,1.26,0,Cooperative Adult (Struggling Help Route)
CUST0032,48,1234057,Suburban,Self-Employed,484376,15,7.71,Auto,5,167,1,2,-0.65,59.81,0.02,29,0,0,Standard_Adult,6,0.39250699116815513,0.3140055929345241,46681.737,0.0,0,General Profile
CUST0033,36,1423520,Rural,Salaried,61390,41,9.16,Auto,3,50,0,9,-0.8,50.23,0.96,17,0,1,Standard_Adult,3,0.04312549173878836,0.012622095143060005,19213.023666666664,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0034,35,1819061,Urban,Unemployed,681040,14,13.72,Education,4,122,2,5,-0.35,41.62,0.34,35,1,1,Standard_Adult,6,0.3743909632497206,0.32090653992833196,109011.80266666668,1.35,1,Cooperative Adult (Struggling Help Route)
CUST0035,64,1696972,Urban,Self-Employed,987635,50,7.26,Business,3,4,1,5,-0.73,14.03,0.19,20,0,0,Low_Risk_Senior,4,0.581998406573591,0.13967961757766184,298759.58749999997,0.0,0,General Profile
CUST0036,23,1403358,Suburban,Unemployed,406898,51,14.93,Auto,0,76,3,3,-0.69,43.64,0.85,18,0,1,High_Risk_Youth,3,0.28994597244609,0.06822258175202117,258186.95344999997,0.0,0,Cooperative Youth (Struggling Help Route)
CUST0037,57,1933422,Urban,Salaried,388113,47,11.1,Personal,3,159,3,4,0.37,2.74,0.7,15,0,0,Low_Risk_Senior,6,0.20073889714713083,0.051252484377990855,168732.12675,0.0,0,General Profile
CUST0038,27,1320483,Urban,Salaried,720398,37,14.87,Personal,2,0,3,1,-0.96,9.0,0.09,27,1,0,High_Risk_Youth,5,0.5455564365463244,0.17693722266367276,330296.47968333337,1.96,0,Rude but Reliable (De-escalation & Calm Down Route)
CUST0039,41,402967,Suburban,Student,799078,37,14.48,Business,3,10,2,9,-0.76,22.8,0.12,3,1,0,Standard_Adult,5,1.9829861998625198,0.6431306594148712,356761.69106666674,1.76,0,Rude but Reliable (De-escalation & Calm Down Route)
CUST0040,29,1551351,Suburban,Salaried,389208,11,10.35,Business,3,7,2,9,0.69,32.23,0.72,14,0,0,High_Risk_Youth,5,0.25088326239516395,0.27369083170381525,36926.109,0.0,0,General Profile
CUST0041,59,1639758,Urban,Salaried,71281,53,8.19,Education,1,152,1,7,0.69,9.12,0.07,0,0,0,Low_Risk_Senior,2,0.04347043893062269,0.00984236353146174,25784.119725000004,0.0,1,General Profile
CUST0042,38,1530823,Rural,Self-Employed,104189,43,7.9,Home,1,167,4,9,-0.34,9.08,0.92,47,0,0,Standard_Adult,5,0.06806077515166678,0.018993704693488406,29494.16941666667,0.0,0,General Profile
CUST0043,24,264772,Suburban,Student,312093,22,8.54,Personal,4,31,1,6,-0.82,52.4,0.74,46,1,1,High_Risk_Youth,5,1.1787235810433128,0.6429401351145342,48863.36069999999,1.8199999999999998,0,Tough Youth (Strict Talk Route)
CUST0044,45,326108,Rural,Self-Employed,360655,15,12.54,Business,0,27,0,9,0.41,41.23,0.34,15,1,0,Standard_Adult,0,1.1059372968464436,0.8847498374771549,56532.67124999999,0.5900000000000001,0,General Profile
CUST0045,34,1262958,Urban,Unemployed,696403,55,8.82,Personal,2,130,3,5,-0.28,38.66,0.36,19,2,1,Standard_Adult,5,0.5514063017139129,0.12030682946485372,281520.91274999996,2.56,0,Tough Adult (Strict Talk Route)
CUST0046,29,1332867,Suburban,Salaried,582893,32,9.4,Business,3,127,0,6,-0.91,32.85,0.51,32,0,0,High_Risk_Youth,3,0.43732270361558956,0.16399601385584608,146111.84533333333,0.0,0,General Profile
CUST0047,46,563339,Rural,Unemployed,412462,59,10.31,Auto,1,61,1,0,-0.68,70.32,0.36,16,2,1,Standard_Adult,2,0.7321737000278695,0.1489166847514311,209080.42498333336,3.3600000000000003,0,Tough Adult (Strict Talk Route)
CUST0048,22,1907692,Suburban,Self-Employed,444597,55,14.26,Personal,0,26,0,4,-0.73,4.06,0.78,4,0,0,High_Risk_Youth,0,0.23305491662176075,0.0508483454447478,290581.18925,0.0,0,Reliable Payer (Premium Service Route)
CUST0049,40,1531329,Urban,Salaried,856242,40,8.11,Auto,3,44,2,6,0.18,13.41,0.97,4,0,0,Standard_Adult,5,0.5591496014246449,0.16774488042739347,231470.754,0.0,0,General Profile
CUST0050,48,347550,Rural,Salaried,299415,57,6.54,Personal,2,104,1,0,0.8,46.8,0.58,38,0,1,Standard_Adult,3,0.8615019421665947,0.1813688299298094,93013.26974999999,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0051,27,1480626,Urban,Self-Employed,729682,26,7.01,Home,1,91,1,1,0.59,10.25,0.45,12,0,1,High_Risk_Youth,2,0.4928199288679248,0.22745535178519605,110826.5344333333,0.0,0,Cooperative Youth (Struggling Help Route)
CUST0052,64,632882,Urban,Self-Employed,91869,30,14.19,Education,2,24,0,8,0.09,42.64,0.22,43,0,0,Low_Risk_Senior,2,0.145159761219311,0.058063904487724416,32590.52775,0.0,1,General Profile
CUST0053,28,537827,Suburban,Self-Employed,607243,33,12.0,Auto,1,43,2,2,-0.16,41.09,0.65,35,1,0,High_Risk_Youth,3,1.12906752543104,0.410570009247651,200390.19,1.16,0,General Profile
CUST0054,55,1247843,Rural,Self-Employed,635676,52,8.82,Business,0,173,0,5,0.24,69.93,0.69,29,1,1,Low_Risk_Senior,0,0.5094198549016182,0.11755842805421958,242955.36719999998,0.76,0,General Profile
CUST0055,34,1740889,Urban,Self-Employed,815612,20,8.01,Home,2,141,0,6,-0.11,63.66,0.69,3,1,1,Standard_Adult,2,0.46850316131585645,0.28110189678951386,108884.202,1.11,0,Cooperative Adult (Struggling Help Route)
CUST0056,37,1635434,Urban,Salaried,60207,9,9.0,Personal,0,135,0,8,-0.51,68.11,0.03,22,1,0,Standard_Adult,0,0.03681408115521629,0.04908544154028839,4063.9725,1.51,0,General Profile
CUST0057,56,1903194,Rural,Self-Employed,268401,34,7.48,Auto,3,175,1,4,0.36,8.62,0.9,20,0,0,Low_Risk_Senior,4,0.14102661105488984,0.04977409801937288,56883.11860000001,0.0,0,General Profile
CUST0058,60,795603,Urban,Salaried,209292,14,14.5,Personal,2,141,0,3,0.75,62.57,0.34,20,1,1,Low_Risk_Senior,2,0.26306084818684694,0.22548072701729738,35405.229999999996,0.25,0,Cooperative Adult (Struggling Help Route)
CUST0059,24,588349,Urban,Salaried,527266,32,13.17,Personal,4,79,2,1,-0.25,9.73,0.74,5,0,0,High_Risk_Youth,6,0.8961789686053686,0.3360671132270132,185175.81920000003,0.0,0,General Profile
CUST0060,22,1262729,Rural,Self-Employed,546762,31,10.43,Personal,1,81,2,2,0.68,45.75,0.76,23,0,0,High_Risk_Youth,3,0.4330002716338977,0.167613008374412,147320.46455000003,0.0,0,General Profile
CUST0061,26,1226919,Rural,Self-Employed,255157,24,13.85,Education,0,134,1,4,-0.14,51.99,0.65,46,1,0,High_Risk_Youth,1,0.2079656440237701,0.10398282201188505,70678.48899999999,1.1400000000000001,1,General Profile
CUST0062,62,1849189,Rural,Student,72031,33,8.62,Education,0,87,0,1,-0.2,12.0,0.39,30,1,0,Low_Risk_Senior,0,0.03895275171980798,0.014164636989021085,17074.948549999997,1.2,1,General Profile
CUST0063,24,1489349,Rural,Salaried,513937,22,12.6,Business,4,176,0,3,-0.94,45.74,0.61,18,0,0,High_Risk_Youth,4,0.3450749287104634,0.1882226883875255,118719.44699999999,0.0,0,General Profile
CUST0064,49,1303894,Suburban,Self-Employed,917239,48,13.78,Auto,0,126,1,0,0.39,4.25,0.04,37,1,1,Standard_Adult,1,0.703461324310105,0.17586533107752625,505582.13680000004,0.61,0,General Profile
CUST0065,38,594030,Rural,Self-Employed,645600,46,9.53,Home,5,54,0,3,0.62,21.47,0.76,11,1,1,Standard_Adult,5,1.0868137972829655,0.28351664276946925,235848.44,0.38,0,Cooperative Adult (Struggling Help Route)
CUST0066,46,1625753,Suburban,Self-Employed,634054,47,12.94,Home,0,140,1,6,0.33,66.36,0.1,13,0,1,Standard_Adult,1,0.39000635397874095,0.09957609037755089,321349.1347666666,0.0,0,General Profile
CUST0067,64,276077,Suburban,Student,193521,55,9.01,Home,3,55,0,2,-0.7,12.78,0.4,49,0,0,Low_Risk_Senior,3,0.700967483709255,0.15293836008201928,79916.109625,0.0,0,General Profile
CUST0068,54,1076906,Suburban,Student,401977,25,9.04,Personal,2,14,0,9,-0.79,5.17,0.1,11,0,0,Low_Risk_Senior,2,0.3732702761429503,0.17916973254861612,75705.66833333333,0.0,0,General Profile
CUST0069,30,333515,Urban,Unemployed,237771,50,7.41,Education,1,57,1,7,0.15,32.22,0.84,14,0,1,Standard_Adult,2,0.7129244561713866,0.1711018694811328,73411.79625,0.0,1,Cooperative Adult (Struggling Help Route)
CUST0070,56,1193497,Suburban,Salaried,287199,45,10.24,Auto,1,162,1,5,-0.2,61.32,0.55,18,1,0,Low_Risk_Senior,2,0.24063654956820169,0.06416974655152045,110284.41600000001,1.2,0,General Profile
CUST0071,34,1455564,Suburban,Unemployed,811019,44,12.7,Personal,1,87,2,5,-0.14,5.98,0.69,27,0,1,Standard_Adult,3,0.5571853934282519,0.1519596527531596,377664.5143333333,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0072,51,325885,Urban,Self-Employed,810129,54,14.49,Education,2,96,0,0,0.94,25.92,0.68,39,0,0,Low_Risk_Senior,2,2.4859352225478313,0.5524300494550737,528244.61445,0.0,1,General Profile
CUST0073,35,1096209,Urban,Student,685329,58,11.63,Education,3,143,0,4,0.45,64.83,0.84,40,2,1,Standard_Adult,3,0.6251809645788349,0.12934778577493133,385234.85305000003,1.1,1,Cooperative Adult (Struggling Help Route)
CUST0074,28,741656,Urban,Student,690473,28,13.84,Auto,2,7,0,2,-0.18,8.95,0.13,4,0,0,High_Risk_Youth,2,0.930988220954189,0.3989949518375096,222976.74746666668,0.0,0,General Profile
CUST0075,34,870688,Rural,Unemployed,227164,52,13.49,Auto,3,172,0,9,-0.96,22.71,0.66,4,0,0,Standard_Adult,3,0.2609017236943658,0.0602080900833152,132792.50226666665,0.0,0,General Profile
CUST0076,43,388014,Urban,Student,506887,37,7.97,Auto,3,39,0,0,-0.93,56.16,0.58,5,2,1,Standard_Adult,3,1.3063626570175304,0.42368518605973954,124563.25619166666,3.8600000000000003,0,Tough Adult (Strict Talk Route)
CUST0077,60,291751,Urban,Self-Employed,584638,57,10.63,Personal,1,13,0,7,0.37,39.34,0.03,22,0,0,Low_Risk_Senior,1,2.0038937312982648,0.4218723644838452,295198.34215000004,0.0,0,Reliable Payer (Premium Service Route)
CUST0078,41,430203,Suburban,Student,801518,52,7.49,Business,2,52,1,6,0.68,60.01,0.2,2,0,1,Standard_Adult,3,1.8631157848736526,0.4299497965093044,260146.02553333333,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0079,36,1013738,Urban,Unemployed,937291,38,12.3,Auto,2,126,1,6,0.42,8.48,0.27,36,0,1,Standard_Adult,3,0.9245889963678978,0.2919754725372309,365074.8445,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0080,38,895275,Rural,Self-Employed,563313,51,14.57,Business,2,154,0,9,-0.19,66.32,0.07,32,1,1,Standard_Adult,2,0.6292066683421295,0.14804862784520695,348817.492425,1.19,0,Cooperative Adult (Struggling Help Route)
CUST0081,44,1023651,Urban,Unemployed,835858,10,7.67,Personal,4,174,0,9,-0.94,67.35,0.35,42,1,1,Standard_Adult,4,0.8165458735447921,0.9798550482537506,53425.25716666667,1.94,0,Tough Adult (Strict Talk Route)
CUST0082,46,1460527,Rural,Student,118487,48,12.74,Business,1,79,1,9,0.93,11.6,0.03,20,0,1,Standard_Adult,2,0.08112619622916933,0.020281549057292333,60380.97520000001,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0083,45,1753731,Urban,Unemployed,198694,53,11.87,Home,0,114,0,3,0.97,2.92,0.55,19,1,1,Standard_Adult,0,0.1132978774966058,0.025652349621873013,104166.98528333333,0.030000000000000027,0,General Profile
CUST0084,61,395716,Urban,Unemployed,173853,39,11.46,Business,1,133,2,5,0.1,71.27,0.21,0,1,1,Low_Risk_Senior,3,0.43933780792285376,0.13518086397626267,64751.54985,0.9,0,Cooperative Adult (Struggling Help Route)
CUST0085,49,784567,Urban,Salaried,365261,45,9.82,Auto,2,54,0,8,-0.86,34.98,0.29,38,0,0,Standard_Adult,2,0.4655574348653461,0.12414864929742563,134507.36325000002,0.0,0,General Profile
CUST0086,35,515172,Urban,Student,285062,16,9.52,Personal,0,43,3,2,0.08,41.4,0.91,46,1,1,Standard_Adult,3,0.5533336439092187,0.415000232931914,36183.86986666666,0.92,0,Cooperative Adult (Struggling Help Route)
CUST0087,21,1090695,Rural,Student,501610,55,6.88,Auto,1,17,1,8,0.78,44.54,0.5,16,0,0,High_Risk_Youth,2,0.4598994219282201,0.1003416920570662,158174.3533333333,0.0,0,General Profile
CUST0088,45,200126,Rural,Unemployed,283077,8,8.35,Home,0,15,1,3,0.36,56.96,0.27,28,1,0,Standard_Adult,1,1.4144938688626165,2.1217408032939247,15757.952999999998,0.64,0,General Profile
CUST0089,27,1038761,Suburban,Salaried,937516,38,6.63,Auto,2,11,1,4,0.44,58.56,0.6,7,0,0,High_Risk_Youth,3,0.9025329214323603,0.28501039624179797,196831.48419999998,0.0,0,General Profile
CUST0090,29,1276208,Rural,Student,73782,16,11.44,Auto,2,147,5,6,-0.83,14.37,0.2,25,1,1,High_Risk_Youth,7,0.05781345987487933,0.043360094906159496,11254.214399999999,1.83,0,Tough Youth (Strict Talk Route)
CUST0091,44,700315,Urban,Self-Employed,559492,21,7.4,Auto,3,44,0,5,-0.79,17.42,0.07,27,0,0,Standard_Adult,3,0.798914774065956,0.4565227280376892,72454.214,0.0,0,General Profile
CUST0092,21,1969246,Suburban,Unemployed,864886,23,13.92,Education,0,92,2,9,-0.75,63.19,0.02,33,0,1,High_Risk_Youth,2,0.4391965249643772,0.22914601302489246,230751.58479999998,0.0,1,Cooperative Youth (Struggling Help Route)
CUST0093,64,1358521,Suburban,Student,904336,35,10.95,Home,5,21,1,7,0.81,59.1,0.95,25,0,0,Low_Risk_Senior,6,0.6656768647669046,0.2282320679200816,288822.30999999994,0.0,0,General Profile
CUST0094,28,517320,Suburban,Self-Employed,704224,53,12.45,Auto,5,96,0,7,0.05,44.66,0.72,12,1,1,High_Risk_Youth,5,1.3612928168251759,0.3082172415453229,387235.1720000001,0.95,0,Cooperative Youth (Struggling Help Route)
CUST0095,44,1499445,Urban,Student,458808,15,9.99,Auto,1,46,1,7,0.58,71.62,0.8,43,0,0,Standard_Adult,2,0.3059852145293759,0.2447881716235007,57293.649000000005,0.0,0,General Profile
CUST0096,31,941426,Rural,Self-Employed,203245,23,11.26,Auto,4,28,0,2,-0.77,53.07,0.98,36,0,1,Standard_Adult,4,0.21589057451143265,0.1126385606146605,43863.658416666665,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0097,37,698716,Urban,Unemployed,172258,43,14.51,Personal,2,44,0,9,0.86,15.93,0.93,12,0,1,Standard_Adult,2,0.24653507290515747,0.0688004854619044,89564.11161666668,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0098,28,1243917,Suburban,Student,685956,24,7.2,Education,3,76,0,5,0.64,61.04,0.74,37,1,0,High_Risk_Youth,3,0.5514483683396882,0.2757241841698441,98777.664,0.36,1,General Profile
CUST0099,55,1423975,Urban,Student,504418,41,8.66,Personal,2,8,1,6,-0.55,30.15,0.69,24,1,0,Low_Risk_Senior,3,0.3542323425621939,0.10367775879869089,149248.87923333334,1.55,0,Rude but Reliable (De-escalation & Calm Down Route)
CUST0100,55,662120,Urban,Salaried,532616,18,13.13,Education,3,23,1,8,0.75,3.08,0.34,46,1,0,Low_Risk_Senior,4,0.8044100767232526,0.5362733844821684,104898.7212,0.25,1,General Profile
CUST0101,53,1383445,Rural,Unemployed,436328,51,7.34,Auto,2,14,1,9,-0.47,23.48,0.1,22,0,1,Low_Risk_Senior,3,0.3153923719410602,0.07420996986848476,136112.5196,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0102,25,378954,Rural,Self-Employed,556581,8,7.14,Home,2,163,2,9,-0.59,55.09,0.57,21,0,1,High_Risk_Youth,4,1.4687297138966735,2.20309457084501,26493.255599999993,0.0,0,Cooperative Youth (Struggling Help Route)
CUST0103,62,869078,Suburban,Student,473966,15,9.57,Business,2,12,2,3,-0.47,69.15,0.58,20,0,0,Low_Risk_Senior,4,0.5453664688324869,0.43629317506598947,56698.18275000001,0.0,0,General Profile
CUST0104,59,1283136,Urban,Student,328710,43,7.28,Business,2,90,0,4,0.82,20.24,0.95,29,0,1,Low_Risk_Senior,2,0.25617705371838995,0.07149127080513208,85749.482,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0105,61,484260,Urban,Self-Employed,712550,6,11.47,Auto,0,171,2,7,0.83,18.13,0.44,10,0,0,Low_Risk_Senior,2,1.4714203114029654,2.9428406228059307,40864.7425,0.0,0,General Profile
CUST0106,48,332717,Rural,Unemployed,612621,32,8.42,Personal,4,100,0,0,-0.34,40.8,0.69,3,0,0,Standard_Adult,4,1.8412675036141826,0.6904753138553185,137553.83519999997,0.0,0,General Profile
CUST0107,27,1427171,Urban,Salaried,434073,51,14.11,Home,4,70,3,5,0.41,58.54,0.57,32,1,0,High_Risk_Youth,7,0.30414925751714406,0.07156453118050447,260302.72627500002,0.5900000000000001,0,General Profile
CUST0108,29,848373,Urban,Salaried,786265,13,13.16,Education,1,121,1,3,0.35,53.88,0.18,46,1,1,High_Risk_Youth,2,0.9267916352830653,0.8554999710305219,112095.18016666666,0.65,1,Cooperative Youth (Struggling Help Route)
CUST0109,28,579862,Urban,Student,663859,56,12.45,Auto,3,75,0,4,0.61,40.54,0.59,11,1,0,High_Risk_Youth,3,1.144856879740352,0.24532647423007542,385702.079,0.39,0,General Profile
CUST0110,32,694592,Rural,Self-Employed,170263,51,11.74,Home,0,163,2,4,-0.41,45.64,0.54,8,1,0,Standard_Adult,2,0.24512663549249056,0.05767685540999778,84952.72385000001,1.41,0,General Profile
CUST0111,54,1348734,Suburban,Student,969093,47,13.84,Home,2,115,1,1,0.02,17.81,0.49,31,0,0,Low_Risk_Senior,3,0.7185204792049433,0.1834520372438153,525313.0122,0.0,0,General Profile
CUST0112,53,1957109,Suburban,Self-Employed,599523,22,8.4,Education,0,60,2,7,0.34,31.43,0.51,10,1,0,Low_Risk_Senior,2,0.30633091973926846,0.16708959258505554,92326.542,0.6599999999999999,1,General Profile
CUST0113,43,1417078,Urban,Salaried,50159,14,13.92,Home,3,167,0,1,-0.95,18.76,0.16,36,0,0,Standard_Adult,3,0.03539607558652382,0.03033949335987756,8145.8216,0.0,0,General Profile
CUST0114,44,1681074,Suburban,Unemployed,717505,11,13.21,Personal,2,125,4,3,-0.25,63.74,0.46,23,1,1,Standard_Adult,6,0.42681345378014296,0.465614676851065,86883.87629166666,1.25,0,Cooperative Adult (Struggling Help Route)
CUST0115,57,530388,Rural,Self-Employed,212993,48,12.86,Personal,1,154,0,4,0.39,8.55,0.61,6,0,1,Low_Risk_Senior,1,0.4015795983317873,0.10039489958294683,109563.5992,0.0,0,General Profile
CUST0116,55,1915630,Rural,Salaried,417003,30,11.27,Personal,0,0,0,0,-0.49,49.1,0.49,7,0,0,Low_Risk_Senior,0,0.2176845215412162,0.08707380861648648,117490.59524999998,0.0,0,Reliable Payer (Premium Service Route)
CUST0117,64,518408,Suburban,Student,197309,44,8.59,Home,0,161,1,5,0.92,19.11,0.49,32,1,0,Low_Risk_Senior,1,0.38060562337000975,0.10380153364636631,62145.75803333334,0.07999999999999996,0,Reliable Payer (Premium Service Route)
CUST0118,60,668276,Suburban,Self-Employed,157507,54,10.1,Personal,4,67,0,1,-0.94,34.5,0.08,24,2,1,Low_Risk_Senior,4,0.23569154062094105,0.05237589791576468,71586.93149999999,3.88,0,Tough Adult (Strict Talk Route)
